통계표코드,통계명,통계항목코드1,통계항목명1,통계항목코드2,통계항목명2,통계항목코드3,통계항목명3,통계항목코드4,통계항목명4,단위,WGT,시점,값
200Y101,2.1.1.1. 주요지표(연간지표),8010200,국내총투자율,,,,,,,%,,2024,29.6
200Y101,2.1.1.1. 주요지표(연간지표),8010201,(국내총고정투자율),,,,,,,%,,2024,29.7
200Y101,2.1.1.1. 주요지표(연간지표),8010400,(가계순저축률),,,,,,,%,,2024,8
200Y101,2.1.1.1. 주요지표(연간지표),901,수출입의 대 GNI 비율(명목),,,,,,,%,,2024,89.6
200Y101,2.1.1.1. 주요지표(연간지표),90101,총수출,,,,,,,%,,2024,47.5
200Y101,2.1.1.1. 주요지표(연간지표),9010101,(재화),,,,,,,%,,2024,36.6
200Y101,2.1.1.1. 주요지표(연간지표),9010102,(서비스),,,,,,,%,,2024,7.1
200Y101,2.1.1.1. 주요지표(연간지표),90102,총수입,,,,,,,%,,2024,42.1
200Y101,2.1.1.1. 주요지표(연간지표),9010201,(재화),,,,,,,%,,2024,31.3
200Y101,2.1.1.1. 주요지표(연간지표),9010202,(서비스),,,,,,,%,,2024,8.4
200Y101,2.1.1.1. 주요지표(연간지표),90103,GDP 디플레이터,,,,,,,2020=100,,2024,111.546
200Y101,2.1.1.1. 주요지표(연간지표),9010301,(등락률),,,,,,,%,,2024,4.1
